id_driver,date_registration,driver_rating,gold_level_count,receive_marketing,country_code,service_type,,,,,,
19298651,09-12-2016,4.96,2,TRUE,DE,TAXI,,,,,,
18689462,13-10-2016,4.91,37,TRUE,DE,TAXI,,,,,,
23748241,16-10-2017,4.94,8,TRUE,DE,TAXI,,,,,,
16788592,21-04-2016,4.99,23,TRUE,DE,TAXI,,,,,,
31155971,07-08-2018,4.57,5,TRUE,DE,TAXI,,,,,,
26321009,14-03-2018,4.97,8,TRUE,DE,TAXI,,,,,,
21869621,13-06-2017,4.96,65,TRUE,DE,TAXI,,,,,,
2261871,17-09-2012,4.95,0,FALSE,DE,TAXI,,,,,,
32393682,08-10-2018,4.99,0,FALSE,DE,TAXI,,,,,,
53971297,18-09-2019,4.89,5,TRUE,DE,PHV,,,,,,
218903,21-07-2011,4.96,0,FALSE,DE,TAXI,,,,,,
53168290,14-08-2019,4.23,4,FALSE,ES,TAXI,,,,,,
34576126,21-01-2019,4.94,0,FALSE,DE,TAXI,,,,,,
57974305,03-03-2020,4.79,4,TRUE,ES,TAXI,,,,,,
54146534,25-09-2019,4.82,1,FALSE,DE,TAXI,,,,,,
56847248,14-01-2020,4.91,0,TRUE,DE,PHV,,,,,,
20053390,09-07-2016,4.95,29,FALSE,ES,TAXI,,,,,,
27634939,26-04-2018,4.87,11,TRUE,DE,TAXI,,,,,,
7701935,24-09-2013,4.81,75,TRUE,DE,TAXI,,,,,,
1098712,23-03-2012,4.85,0,TRUE,DE,TAXI,,,,,,
17323178,09-06-2016,4.82,0,TRUE,DE,TAXI,,,,,,
17553738,30-06-2016,4.92,1,TRUE,DE,TAXI,,,,,,
10641630,12-05-2014,4.96,79,FALSE,DE,TAXI,,,,,,
14929953,07-10-2015,4.92,77,TRUE,DE,TAXI,,,,,,
53755433,09-09-2019,4.7,0,TRUE,DE,PHV,,,,,,
55626128,28-11-2019,4.9,8,TRUE,ES,TAXI,,,,,,
2448593,01-10-2012,4.95,29,TRUE,DE,TAXI,,,,,,
34644672,25-01-2019,4.94,34,TRUE,DE,TAXI,,,,,,
3525490,19-12-2012,4.9,28,FALSE,DE,TAXI,,,,,,
15167437,05-11-2015,4.96,13,TRUE,DE,TAXI,,,,,,
19904836,19-10-2016,4.91,5,TRUE,ES,TAXI,,,,,,
47534902,05-03-2019,4.86,5,TRUE,DE,TAXI,,,,,,
54699164,17-10-2019,4.88,10,TRUE,DE,TAXI,,,,,,
54673761,16-10-2019,4.91,2,TRUE,ES,TAXI,,,,,,
52416955,10-07-2019,4.92,0,TRUE,ES,TAXI,,,,,,
56193852,19-12-2019,4.81,0,TRUE,DE,PHV,,,,,,
33769639,12-12-2018,4.95,2,TRUE,DE,TAXI,,,,,,
53349637,22-08-2019,4.95,0,TRUE,DE,PHV,,,,,,
18926954,02-11-2016,4.91,42,TRUE,DE,TAXI,,,,,,
21585725,24-05-2017,4.96,79,TRUE,DE,TAXI,,,,,,
34369730,08-01-2019,4.99,32,TRUE,ES,TAXI,,,,,,
32285806,03-10-2018,4.93,57,TRUE,ES,TAXI,,,,,,
28969356,06-06-2018,4.83,6,TRUE,ES,TAXI,,,,,,
14451301,13-07-2015,4.89,94,TRUE,DE,TAXI,,,,,,
12483519,26-09-2014,4.84,2,TRUE,ES,TAXI,,,,,,
54527180,10-10-2019,4.97,0,TRUE,DE,PHV,,,,,,
55462327,20-11-2019,4.91,0,FALSE,DE,PHV,,,,,,
6035528,05-06-2013,4.96,1,TRUE,DE,TAXI,,,,,,
19870248,09-09-2013,4.92,32,TRUE,ES,TAXI,,,,,,
14697614,04-09-2015,4.92,29,FALSE,DE,TAXI,,,,,,
26955065,03-04-2018,4.93,0,FALSE,DE,TAXI,,,,,,
15203318,11-11-2015,4.95,8,TRUE,ES,TAXI,,,,,,
9603657,06-02-2014,4.99,3,TRUE,ES,TAXI,,,,,,
25386441,07-02-2018,4.81,44,TRUE,ES,TAXI,,,,,,
16295911,04-03-2016,4.91,0,TRUE,DE,TAXI,,,,,,
20046955,29-05-2013,4.94,9,TRUE,ES,TAXI,,,,,,
14375099,29-06-2015,4.86,20,FALSE,ES,TAXI,,,,,,
31592373,30-08-2018,4.97,13,TRUE,DE,TAXI,,,,,,
14378984,30-06-2015,4.97,23,FALSE,ES,TAXI,,,,,,
55648784,29-11-2019,4.82,0,TRUE,DE,PHV,,,,,,
18390806,20-09-2016,4.89,81,TRUE,DE,TAXI,,,,,,
56729574,08-01-2020,5,0,TRUE,DE,PHV,,,,,,
29819427,28-06-2018,4.87,36,FALSE,ES,TAXI,,,,,,
23240330,15-09-2017,4.94,59,FALSE,DE,TAXI,,,,,,
24080112,09-11-2017,4.88,7,TRUE,ES,TAXI,,,,,,
25142298,17-01-2018,4.91,3,FALSE,ES,TAXI,,,,,,
55190819,07-11-2019,4.98,0,TRUE,DE,PHV,,,,,,
54482350,08-10-2019,4.91,0,TRUE,DE,PHV,,,,,,
18039697,17-08-2016,4.57,1,FALSE,DE,TAXI,,,,,,
31825858,11-09-2018,4.75,48,TRUE,ES,TAXI,,,,,,
31950312,17-09-2018,4.96,0,TRUE,ES,TAXI,,,,,,
55789560,04-12-2019,4.85,8,TRUE,ES,TAXI,,,,,,
1358819,11-06-2012,4.91,3,TRUE,DE,TAXI,,,,,,
56742362,09-01-2020,4.95,0,TRUE,DE,PHV,,,,,,
2535,29-05-2011,4.93,0,FALSE,DE,TAXI,,,,,,
31741857,07-09-2018,4.97,48,TRUE,DE,TAXI,,,,,,
9603505,06-02-2014,4.92,42,FALSE,ES,TAXI,,,,,,
10373441,16-04-2014,4.95,20,TRUE,DE,TAXI,,,,,,
54828649,22-10-2019,4.97,0,TRUE,DE,PHV,,,,,,
26347176,15-03-2018,4.95,32,TRUE,DE,TAXI,,,,,,
51840436,20-06-2019,4.95,7,TRUE,ES,TAXI,,,,,,
1759003,06-08-2012,4.85,0,FALSE,DE,TAXI,,,,,,
34476428,15-01-2019,4.91,37,TRUE,ES,TAXI,,,,,,
16799229,22-04-2016,4.8,0,TRUE,ES,TAXI,,,,,,
387,29-05-2011,4.87,100,TRUE,DE,TAXI,,,,,,
27378916,17-04-2018,5,23,TRUE,ES,TAXI,,,,,,
31860187,13-09-2018,4.98,0,FALSE,DE,TAXI,,,,,,
16230595,25-02-2016,4.89,39,TRUE,DE,TAXI,,,,,,
51291192,13-06-2019,4.97,10,TRUE,ES,TAXI,,,,,,
43449234,27-02-2019,4.99,14,TRUE,DE,TAXI,,,,,,
213592,19-07-2011,4.96,0,TRUE,DE,TAXI,,,,,,
19202576,29-11-2016,4.91,14,TRUE,ES,TAXI,,,,,,
1064,29-05-2011,4.98,0,FALSE,DE,TAXI,,,,,,
17858294,29-07-2016,4.88,89,TRUE,DE,TAXI,,,,,,
21868586,13-06-2017,4.99,2,FALSE,DE,TAXI,,,,,,
24608866,13-12-2017,4.94,0,TRUE,DE,TAXI,,,,,,
9758093,20-02-2014,4.58,0,TRUE,DE,TAXI,,,,,,
13875992,25-03-2015,4.99,6,TRUE,DE,TAXI,,,,,,
4494997,20-02-2013,4.72,0,TRUE,ES,TAXI,,,,,,
25884890,28-02-2018,4.93,2,TRUE,ES,TAXI,,,,,,
7125605,16-08-2013,4.8,1,TRUE,DE,TAXI,,,,,,
13001201,21-11-2014,4.96,106,TRUE,DE,TAXI,,,,,,
16781881,20-04-2016,4.92,0,TRUE,DE,TAXI,,,,,,
54145003,25-09-2019,4.96,0,TRUE,DE,PHV,,,,,,
399668,03-11-2011,4.53,7,TRUE,DE,TAXI,,,,,,
32308887,04-10-2018,4.76,27,TRUE,DE,TAXI,,,,,,
653,29-05-2011,4.92,0,FALSE,DE,TAXI,,,,,,
14135740,13-05-2015,4.86,8,TRUE,DE,TAXI,,,,,,
20555348,03-04-2017,4.95,58,TRUE,DE,TAXI,,,,,,
2299291,20-09-2012,4.95,2,TRUE,DE,TAXI,,,,,,
17603967,04-07-2016,4.75,0,TRUE,DE,TAXI,,,,,,
162486,08-06-2011,4.93,31,FALSE,DE,TAXI,,,,,,
5085959,04-04-2013,4.86,38,TRUE,DE,TAXI,,,,,,
780889,07-02-2012,4.86,7,TRUE,DE,TAXI,,,,,,
15074882,29-10-2015,4.9,108,FALSE,DE,TAXI,,,,,,
18745732,17-10-2016,4.96,15,TRUE,DE,TAXI,,,,,,
1373528,14-06-2012,4.83,87,TRUE,DE,TAXI,,,,,,
54479146,08-10-2019,4.9,0,TRUE,DE,PHV,,,,,,
16642255,08-04-2016,4.93,18,TRUE,DE,TAXI,,,,,,
56320628,23-12-2019,4.77,0,TRUE,DE,PHV,,,,,,
33018745,06-11-2018,4.96,5,TRUE,ES,TAXI,,,,,,
25387195,07-02-2018,4.94,42,FALSE,DE,TAXI,,,,,,
12717872,23-10-2014,4.62,2,TRUE,ES,TAXI,,,,,,
17691365,13-07-2016,4.81,80,TRUE,ES,TAXI,,,,,,
28719190,30-05-2018,4.99,13,TRUE,DE,TAXI,,,,,,
56147709,17-12-2019,4.85,12,TRUE,ES,TAXI,,,,,,
25284731,29-01-2018,4.93,2,TRUE,ES,TAXI,,,,,,
24146431,13-11-2017,4.95,11,TRUE,ES,TAXI,,,,,,
51068850,05-06-2019,4.9,10,FALSE,ES,TAXI,,,,,,
9814054,25-02-2014,4.96,22,FALSE,DE,TAXI,,,,,,
27632505,26-04-2018,4.97,35,TRUE,DE,TAXI,,,,,,
21466721,23-05-2017,4.98,44,TRUE,DE,TAXI,,,,,,
14541010,30-07-2015,4.96,0,TRUE,DE,TAXI,,,,,,
